date,priceOpen,priceHigh,priceLow,priceClose,volume
2023-06-27,30480.523973068972,30636.029429573337,29955.74329373245,30271.131016739702,16493186997.21
2023-06-26,30545.150233460405,31041.272067035912,30327.94278399382,30480.26160573749,12703464114.44
2023-06-25,30708.73845396601,30804.14936626635,30290.14647599631,30548.694824738708,12147822495.52
2023-06-24,29896.383424039625,31389.538128135737,29845.21450520376,30695.46940748955,24115570084.62
2023-06-23,29995.935766599723,30495.998447137208,29679.15740226772,29912.28171476797,20653160490.91
2023-06-22,28311.31096035663,30737.329223589204,28283.410778834823,30027.29645350096,33346760979.13
2023-06-21,26841.663530099617,28388.968417499316,26668.7916991755,28327.488264328196,22211859146.73
2023-06-20,26335.442369620123,26984.611526472378,26312.83180762957,26851.02854552132,12826986222.15
2023-06-19,26510.457605282787,26675.925532231984,26325.890181020062,26336.213003281027,9565695128.64
2023-06-18,26328.67943900957,26769.39450192045,26174.491649574386,26510.67644688794,11090276850.25
2023-06-17,25575.28259536865,26463.17306455292,25245.357683111808,26327.46239421728,16324646965.41
2023-06-16,25121.673946191982,25735.308541637325,24797.167848615383,25576.394008263604,15837384409.1
2023-06-15,25920.258089139683,26041.800109474854,24902.152701215837,25124.676679840817,14265717765.8
2023-06-14,25902.9409098622,26376.35206932344,25728.365567508503,25918.72840126816,14143474486.27
2023-06-13,25934.285597359547,26087.919073186164,25675.19759436772,25902.499869783027,11677889997.4
2023-06-12,25854.03191845112,26203.43980788956,25668.98560722756,25940.16808034339,10732609602.85
2023-06-11,26481.762544708385,26531.04516335344,25501.83624158554,25851.241003169685,19872933188.93
2023-06-10,26505.92400824293,26770.28911733556,26339.31522115061,26480.37509359513,11015551640.28
2023-06-09,26347.65345388678,26797.51278671825,26246.66375623629,26508.215902156466,11904824295.26
2023-06-08,27235.649518401624,27332.18095651845,26146.98886820858,26345.99885126687,19530045081.91
2023-06-07,25732.108862845296,27313.82068241709,25434.86713154732,27238.7837262174,21929670692.82
2023-06-06,27123.10996380917,27129.98258376833,25445.1675071202,25760.096999536112,21513292646.48
2023-06-05,27075.122073387676,27407.018569538297,26968.224140905622,27119.067193126317,9360912318.14
2023-06-04,27252.323332614997,27317.05185408864,26958.003739925192,27075.12939844248,8385597470.09
2023-06-03,26824.55698111948,27303.86168726784,26574.644421230823,27249.58894908836,14837414999.85
2023-06-02,27218.41237556436,27346.105483136533,26671.72115584082,26819.97321970769,14678970414.58
2023-06-01,27700.530088711763,27831.67780370857,26866.45394440047,27219.658608110934,15656371534.37
2023-05-31,27745.123603261192,28044.75979798264,27588.502765755577,27702.348774779613,13251081851.39
2023-05-30,28075.592141166908,28432.038716970947,27563.877211181796,27745.884443552008,15181308983.6
2023-05-29,26871.158775260013,28193.44853283095,26802.751730160704,28085.64736074923,14545229578.02
2023-05-28,26720.18251355914,26888.88337077603,26621.14140510269,26868.35381843118,7892015141.24
2023-05-27,26474.182469275427,26916.66991285404,26343.949157498468,26719.29098461734,12711619225.45
2023-05-26,26329.461512587262,26591.5191830944,25890.594475345944,26476.20753197305,13851122696.86
2023-05-25,27224.60370246231,27224.60370246231,26106.576623117977,26334.81821443653,16299104428.23
2023-05-24,26855.96068204017,27434.684328204352,26816.17971812093,27225.726590634808,13697203142.64
2023-05-23,26749.893205403107,27045.73508578749,26549.734792438765,26851.277627891304,11056770492.11
2023-05-22,27118.42322828029,27265.917991795977,26706.921353513324,26753.82563905467,8647416920.95
2023-05-21,26888.84139105379,27155.159026372767,26843.27738086228,27129.58625503124,7044911360.48
2023-05-20,26826.754786389298,27128.618843259585,26700.21014229994,26890.12824240825,11258983300.89
2023-05-19,27401.650207988976,27466.52759018473,26415.10148304567,26832.20930048602,15222938600.41
2023-05-18,27035.470129713845,27465.927904294607,26600.14484430804,27398.802027965245,15140006925.18
2023-05-17,27171.514579396782,27299.30481164118,26878.9479718172,27036.65070994403,12732238815.9
2023-05-16,26931.384631905392,27646.34811866989,26766.09691604433,27192.69322116492,14413231792.03
2023-05-15,26788.974291770766,27150.976791699217,26661.3549036476,26930.63784556426,10014858959.48
2023-05-14,26807.769044398643,27030.482960302437,26710.873803047674,26784.078560882408,9999171605.08
2023-05-13,26987.662513638646,27055.64722812817,25878.428829536035,26804.99067068782,19313599897.31
2023-05-12,27621.08687181673,27621.941986176356,26781.82700214609,27000.788270733763,16724343943.18
2023-05-11,27654.63677657879,28322.688327886328,26883.669882565664,27621.756227331287,20656025025.55
2023-05-10,27695.068069254918,27821.400606356445,27375.600690258794,27658.77467251895,14128593255.78
2023-05-09,28450.457477963737,28663.272331845223,27310.13561237365,27694.27289627312,19122903752.39
2023-05-08,28901.62282413254,29157.51818533471,28441.368038323788,28454.978285513487,11301355486.45
2023-05-07,29538.85900462101,29820.12662207653,28468.967409856246,28904.623949070778,15913866714.47
2023-05-06,28851.479661785383,29668.90767712088,28845.51053371511,29534.384019704958,17936566518.34
2023-05-05,29031.304447754515,29353.18465956154,28694.03902468949,28847.711590655163,15548678513.55
2023-05-04,28680.494409624956,29259.533287999457,28178.3892452007,29006.30767090857,19122972518.31
2023-05-03,28087.17496979201,28881.298380463573,27924.12367498072,28680.53696791293,16432924526.63
2023-05-02,29227.10398190992,29329.93622110556,27680.792639691088,28091.56880389237,18655599976.36
2023-05-01,29245.51551246229,29952.02855265972,29114.02123627784,29268.80704316256,14652199272.27
2023-04-30,29336.567035251155,29452.455244901885,29088.042336489525,29248.48837291757,10662634332.91
